Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943n_lo0027,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0028,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0029,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0030,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0031,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0032,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0033,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0034,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0035,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0041,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0042,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943x_lo0016,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0017,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0020,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0021,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0029,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0035,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0036,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0037,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0038,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0039,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0040,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0041,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0042,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0043,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0044,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0045,ADRENAL PD53943x B1-C2-S2-3,Definitive zone,Adrenal,Left,adrenal left,3581
